"year","age","marst","sex","people"
1880,60,2,2,11170
1880,60,4,1,2293
1880,60,4,2,1496
1880,60,5,1,64228
1880,60,5,2,195104
1880,60,6,1,34020
1880,60,6,2,33320
1880,65,1,1,282013
1880,65,1,2,154905
1880,65,2,1,9478
1880,65,2,2,7174
1880,65,4,1,1895
1880,65,4,2,1896
1880,65,5,1,55070
1880,65,5,2,160882
1880,65,6,1,20942
1880,65,6,2,21446
1880,70,1,1,182101
1880,70,1,2,78187
1880,70,2,1,8978
1880,70,2,2,3891
1880,70,4,1,800
1880,70,4,2,797
1880,70,5,1,50270
1880,70,5,2,151130
1880,70,6,1,13273
1880,70,6,2,17855
1880,75,1,1,87761
1880,75,1,2,35491
1880,75,2,1,4683
1880,75,2,2,2295
1880,75,4,1,200
1880,75,4,2,299
1880,75,5,1,41300
1880,75,5,2,97051
1880,75,6,1,7684
1880,75,6,2,8377
1880,80,1,1,34518
1880,80,1,2,11870
1880,80,2,1,2292
1880,80,2,2,697
1880,80,4,1,99
1880,80,5,1,26628
1880,80,5,2,57346
1880,80,6,1,3989
1880,80,6,2,7377
1880,85,1,1,8671
1880,85,1,2,2995
1880,85,2,1,498
1880,85,2,2,399
1880,85,5,1,11772
1880,85,5,2,26137
1880,85,6,1,1496
1880,85,6,2,1696
1880,90,1,1,3689
1880,90,1,2,399
1880,90,2,1,398
1880,90,2,2,100
1880,90,4,1,100
1880,90,5,1,5387
1880,90,5,2,13255
1880,90,6,1,698
1880,90,6,2,1697
1900,0,6,1,4619544
1900,0,6,2,4589196
1900,5,6,1,4465783
1900,5,6,2,4390483
1900,10,1,2,3722
1900,10,2,1,502
1900,10,2,2,1306
1900,10,5,1,201
1900,10,6,1,4056966
1900,10,6,2,3996721
1900,15,1,1,32572
1900,15,1,2,396264
1900,15,2,1,5632
1900,15,2,2,25134
1900,15,4,1,301
1900,15,4,2,1809
1900,15,5,1,1109
1900,15,5,2,10352
1900,15,6,1,3735232
1900,15,6,2,3368184
1900,20,1,1,739365
1900,20,1,2,1675865
1900,20,2,1,46941
1900,20,2,2,83310
1900,20,4,1,4122
1900,20,4,2,11560
1900,20,5,1,16585
1900,20,5,2,52652
1900,20,6,1,2887025
1900,20,6,2,1927674
1900,25,1,1,1696542
1900,25,1,2,2150869
1900,25,2,1,89966
1900,25,2,2,82826
1900,25,4,1,8836
1900,25,4,2,17388
1900,25,5,1,40097
1900,25,5,2,94141
1900,25,6,1,1553839
1900,25,6,2,890832
1900,30,1,1,1929229
1900,30,1,2,2005516
1900,30,2,1,90726
1900,30,2,2,68647
1900,30,4,1,10259
1900,30,4,2,17287
1900,30,5,1,56695
1900,30,5,2,123907
1900,30,6,1,832055
1900,30,6,2,449817
1900,35,1,1,1936263
1900,35,1,2,1805069
1900,35,2,1,96909
1900,35,2,2,64111
1900,35,4,1,9950
1900,35,4,2,13770
1900,35,5,1,80686
1900,35,5,2,169672
1900,35,6,1,510075
1900,35,6,2,295115
1900,40,1,1,1730760
1900,40,1,2,1519459
1900,40,2,1,93977
1900,40,2,2,52343
1900,40,4,1,11546
1900,40,4,2,14779
1900,40,5,1,95083
1900,40,5,2,210858
1900,40,6,1,329704
1900,40,6,2,207548
1900,45,1,1,1458766
1900,45,1,2,1198397
1900,45,2,1,69555
1900,45,2,2,48652
1900,45,4,1,10054
1900,45,4,2,11151
1900,45,5,1,110965
1900,45,5,2,250510
1900,45,6,1,219073
1900,45,6,2,139315
1900,50,1,1,1227604
1900,50,1,2,966949
1900,50,2,1,58112
1900,50,2,2,41610
1900,50,4,1,11045
1900,50,4,2,9348
1900,50,5,1,127847
1900,50,5,2,292357
1900,50,6,1,146430
1900,50,6,2,101717
1900,55,1,1,896182
1900,55,1,2,666505
1900,55,2,1,39602
1900,55,2,2,28549
1900,55,4,1,8147
1900,55,4,2,5629
1900,55,5,1,122901
1900,55,5,2,293004
1900,55,6,1,95076
1900,55,6,2,70945
1900,60,1,1,678793
1900,60,1,2,462396
1900,60,2,1,33174
1900,60,2,2,24326
1900,60,4,1,5425
1900,60,4,2,3017
1900,60,5,1,128847
1900,60,5,2,339786
1900,60,6,1,70332
1900,60,6,2,57983
1900,65,1,1,480925
1900,65,1,2,274764
1900,65,2,1,20403
1900,65,2,2,16194
1900,65,4,1,2509
1900,65,4,2,2110
1900,65,5,1,125719
1900,65,5,2,312661
1900,65,6,1,43107
1900,65,6,2,34483
1900,70,1,1,298783
1900,70,1,2,136163
1900,70,2,1,13166
1900,70,2,2,10144
1900,70,4,1,2310
1900,70,4,2,904
1900,70,5,1,115663
1900,70,5,2,266985
1900,70,6,1,24825
1900,70,6,2,25811
1900,75,1,1,154368
1900,75,1,2,58301
1900,75,2,1,8949
1900,75,2,2,5428
1900,75,4,1,1302
1900,75,4,2,602
1900,75,5,1,86713
1900,75,5,2,184056
1900,75,6,1,16879
1900,75,6,2,17492
1900,80,1,1,59785
1900,80,1,2,17381
1900,80,2,1,4726
1900,80,2,2,2109
1900,80,4,1,401
1900,80,5,1,56691
1900,80,5,2,104721
1900,80,6,1,5832
1900,80,6,2,8238
1900,85,1,1,16983
1900,85,1,2,3414
1900,85,2,1,1307
1900,85,2,2,402
1900,85,4,1,100
1900,85,4,2,201
1900,85,5,1,23612
1900,85,5,2,41277
1900,85,6,1,2006
1900,85,6,2,3320
1900,90,1,1,5218
1900,90,1,2,1407
1900,90,2,1,603
1900,90,2,2,504
1900,90,5,1,8338
1900,90,5,2,16574
1900,90,6,1,1005
1900,90,6,2,1608
1910,0,6,1,5296823
1910,0,6,2,5287477
1910,5,6,1,4991803
1910,5,6,2,4866139
1910,10,1,1,252
1910,10,1,2,756
1910,10,2,1,503
1910,10,2,2,503
1910,10,6,1,4649992
1910,10,6,2,4470628
1910,15,1,1,41807
1910,15,1,2,509067
1910,15,2,1,7557
1910,15,2,2,32492
1910,15,4,1,756
1910,15,4,2,3527
1910,15,5,1,756
1910,15,5,2,10579
1910,15,6,1,4515278
1910,15,6,2,4036604
1910,20,1,1,1024956
1910,20,1,2,2083156
1910,20,2,1,76826
1910,20,2,2,101511
1910,20,4,1,5541
1910,20,4,2,25194
1910,20,5,1,13853
1910,20,5,2,55668
1910,20,6,1,3516456
1910,20,6,2,2182154
1910,25,1,1,2170316
1910,25,1,2,2722434
1910,25,2,1,166747
1910,25,2,2,109071
1910,25,4,1,14862
1910,25,4,2,30734
1910,25,5,1,46849
1910,25,5,2,110592
1910,25,6,1,1858981
1910,25,6,2,973322
1910,30,1,1,2399426
1910,30,1,2,2509056
1910,30,2,1,183881
1910,30,2,2,83130
1910,30,4,1,17128
1910,30,4,2,27458
1910,30,5,1,68009
1910,30,5,2,133003
1910,30,6,1,989681
1910,30,6,2,542573
1910,35,1,1,2461026
1910,35,1,2,2385199
1910,35,2,1,170533
1910,35,2,2,86151
1910,35,4,1,23175
1910,35,4,2,29221
1910,35,5,1,86140
1910,35,5,2,215117
1910,35,6,1,686644
1910,35,6,2,373302
1910,40,1,1,2125720
1910,40,1,2,1883413
1910,40,2,1,151141
1910,40,2,2,65494
1910,40,4,1,18893
1910,40,4,2,22418
1910,40,5,1,116116
1910,40,5,2,228181
1910,40,6,1,448359
1910,40,6,2,271761
1910,45,1,1,1803096
1910,45,1,2,1552185
1910,45,2,1,114865
1910,45,2,2,55421
1910,45,4,1,19146
1910,45,4,2,21918
1910,45,5,1,128709
1910,45,5,2,289938
1910,45,6,1,297985
1910,45,6,2,195468
1910,50,1,1,1630512
1910,50,1,2,1214387
1910,50,2,1,82124
1910,50,2,2,51136
1910,50,4,1,16876
1910,50,4,2,15872
1910,50,5,1,162980
1910,50,5,2,349133
1910,50,6,1,234024
1910,50,6,2,143064
1910,55,1,1,1150671
1910,55,1,2,831002
1910,55,2,1,58429
1910,55,2,2,41818
1910,55,4,1,11588
1910,55,4,2,13604
1910,55,5,1,159445
1910,55,5,2,344073
1910,55,6,1,128225
1910,55,6,2,87154
1910,60,1,1,866733
1910,60,1,2,567012
1910,60,2,1,46600
1910,60,2,2,34258
1910,60,4,1,11840
1910,60,4,2,7307
1910,60,5,1,166759
1910,60,5,2,403523
1910,60,6,1,97489
1910,60,6,2,78597
1910,65,1,1,589950
1910,65,1,2,359200
1910,65,2,1,35272
1910,65,2,2,23174
1910,65,4,1,7305
1910,65,4,2,4029
1910,65,5,1,159953
1910,65,5,2,370783
1910,65,6,1,57679
1910,65,6,2,56682
1910,70,1,1,340058
1910,70,1,2,174823
1910,70,2,1,20401
1910,70,2,2,12847
1910,70,4,1,3275
1910,70,4,2,1260
1910,70,5,1,156672
1910,70,5,2,317130
1910,70,6,1,37530
1910,70,6,2,41563
1910,75,1,1,180118
1910,75,1,2,65750
1910,75,2,1,11838
1910,75,2,2,8060
1910,75,4,1,2519
1910,75,4,2,756
1910,75,5,1,110320
1910,75,5,2,257189
1910,75,6,1,17884
1910,75,6,2,19145
1910,80,1,1,68770
1910,80,1,2,18392
1910,80,2,1,6801
1910,80,2,2,4786
1910,80,4,1,754
1910,80,4,2,756
1910,80,5,1,78083
1910,80,5,2,139296
1910,80,6,1,7307
1910,80,6,2,11085
1910,85,1,1,20909
1910,85,1,2,4534
1910,85,2,1,1764
1910,85,2,2,1259
1910,85,4,1,252
1910,85,5,1,32995
1910,85,5,2,55420
1910,85,6,1,3779
1910,85,6,2,1512
1910,90,1,1,7305
1910,90,1,2,1511
1910,90,2,1,1260
1910,90,2,2,504
1910,90,4,2,252
1910,90,5,1,14608
1910,90,5,2,24935
1910,90,6,1,756
1910,90,6,2,1763
1920,0,6,1,5934792
1920,0,6,2,5694244
1920,5,6,1,5789008
1920,5,6,2,5693960
1920,10,1,1,202
1920,10,1,2,4239
1920,10,2,1,1212
1920,10,2,2,1312
1920,10,4,1,101
1920,10,5,1,202
1920,10,5,2,202
1920,10,6,1,5399439
1920,10,6,2,5287304
1920,15,1,1,78211
1920,15,1,2,587731
1920,15,2,1,22201
1920,15,2,2,49958
1920,15,4,1,1211
1920,15,4,2,6658
1920,15,5,1,2118
1920,15,5,2,12613
1920,15,6,1,4620624
1920,15,6,2,4122976
1920,20,1,1,1174975
1920,20,1,2,2368395
1920,20,2,1,103955
1920,20,2,2,132208
1920,20,4,1,10699
1920,20,4,2,28356
1920,20,5,1,21499
1920,20,5,2,65393
1920,20,6,1,3238283
1920,20,6,2,2148280
1920,25,1,1,2511726
1920,25,1,2,3217818
1920,25,2,1,141772
1920,25,2,2,118953
1920,25,4,1,23824
1920,25,4,2,39663
1920,25,5,1,49446
1920,25,5,2,113629
1920,25,6,1,1838298
1920,25,6,2,1039319
1920,30,1,1,2855361
1920,30,1,2,3104649
1920,30,2,1,151066
1920,30,2,2,99885
1920,30,4,1,29560
1920,30,4,2,41174
1920,30,5,1,69824
1920,30,5,2,152982
1920,30,6,1,1004960
1920,30,6,2,583736
1920,35,1,1,3041446
1920,35,1,2,2928711
1920,35,2,1,180649
1920,35,2,2,97671
1920,35,4,1,33898
1920,35,4,2,42381
1920,35,5,1,103026
1920,35,5,2,215532
1920,35,6,1,722524
1920,35,6,2,429515
1920,40,1,1,2542029
1920,40,1,2,2361698
1920,40,2,1,153589
1920,40,2,2,83172
1920,40,4,1,31983
1920,40,4,2,28562
1920,40,5,1,119593
1920,40,5,2,263501
1920,40,6,1,474729
1920,40,6,2,322824
1920,45,1,1,2405631
1920,45,1,2,1979074
1920,45,2,1,145728
1920,45,2,2,78711
1920,45,4,1,28758
1920,45,4,2,25329
1920,45,5,1,158118
1920,45,5,2,327645
1920,45,6,1,405656
1920,45,6,2,258330
1920,50,1,1,1935382
1920,50,1,2,1502493
1920,50,2,1,115144
1920,50,2,2,67195
1920,50,4,1,26446
1920,50,4,2,19477
1920,50,5,1,183455
1920,50,5,2,410113
1920,50,6,1,285608
1920,50,6,2,201213
1920,55,1,1,1406894
1920,55,1,2,1046715
1920,55,2,1,78107
1920,55,2,2,49756
1920,55,4,1,17656
1920,55,4,2,13523
1920,55,5,1,184469
1920,55,5,2,416537
1920,55,6,1,193849
1920,55,6,2,148141
1920,60,1,1,1147749
1920,60,1,2,742176
1920,60,2,1,64287
1920,60,2,2,36123
1920,60,4,1,14727
1920,60,4,2,9788
1920,60,5,1,214247
1920,60,5,2,483167
1920,60,6,1,146539
1920,60,6,2,111623
1920,65,1,1,753162
1920,65,1,2,445700
1920,65,2,1,40775
1920,65,2,2,26844
1920,65,4,1,8577
1920,65,4,2,4843
1920,65,5,1,201006
1920,65,5,2,442479
1920,65,6,1,92436
1920,65,6,2,70035
1920,70,1,1,437808
1920,70,1,2,217252
1920,70,2,1,22906
1920,70,2,2,14928
1920,70,4,1,6361
1920,70,4,2,3129
1920,70,5,1,197077
1920,70,5,2,405051
1920,70,6,1,50466
1920,70,6,2,49737
1920,75,1,1,226157
1920,75,1,2,92430
1920,75,2,1,16042
1920,75,2,2,8980
1920,75,4,1,3631
1920,75,4,2,808
1920,75,5,1,145423
1920,75,5,2,309795
1920,75,6,1,26039
1920,75,6,2,27452
1920,80,1,1,80129
1920,80,1,2,23214
1920,80,2,1,8578
1920,80,2,2,3735
1920,80,4,1,1010
1920,80,4,2,202
1920,80,5,1,86789
1920,80,5,2,169937
1920,80,6,1,10494
1920,80,6,2,14022
1920,85,1,1,28153
1920,85,1,2,6961
1920,85,2,1,3030
1920,85,2,2,1915
1920,85,4,1,505
1920,85,4,2,101
1920,85,5,1,39460
1920,85,5,2,77998
1920,85,6,1,4843
1920,85,6,2,5854
1920,90,1,1,6256
1920,90,1,2,2015
1920,90,2,1,1009
1920,90,2,2,606
1920,90,5,1,12813
1920,90,5,2,27749
1920,90,6,1,2320
1920,90,6,2,1715
1930,0,6,1,5875250
1930,0,6,2,5662530
1930,5,6,1,6542592
1930,5,6,2,6129561
1930,10,1,2,4045
1930,10,2,1,506
1930,10,2,2,2024
1930,10,4,2,505
1930,10,6,1,6064314
1930,10,6,2,5979955
1930,15,1,1,74806
1930,15,1,2,688528
1930,15,2,1,19719
1930,15,2,2,67243
1930,15,4,1,505
1930,15,4,2,13651
1930,15,5,1,3538
1930,15,5,2,10108
1930,15,6,1,5610884
1930,15,6,2,4990057
1930,20,1,1,1379068
1930,20,1,2,2702571
1930,20,2,1,122832
1930,20,2,2,177946
1930,20,4,1,22752
1930,20,4,2,72303
1930,20,5,1,35889
1930,20,5,2,58648
1930,20,6,1,3745451
1930,20,6,2,2553914
1930,25,1,1,2913368
1930,25,1,2,3589747
1930,25,2,1,149638
1930,25,2,2,167335
1930,25,4,1,49037
1930,25,4,2,93526
1930,25,5,1,43971
1930,25,5,2,102626
1930,25,6,1,1773839
1930,25,6,2,1096995
1930,30,1,1,3219778
1930,30,1,2,3460843
1930,30,2,1,157226
1930,30,2,2,149123
1930,30,4,1,55607
1930,30,4,2,86438
1930,30,5,1,62175
1930,30,5,2,140530
1930,30,6,1,929622
1930,30,6,2,618279
1930,35,1,1,3590758
1930,35,1,2,3650468
1930,35,2,1,157215
1930,35,2,2,140528
1930,35,4,1,74811
1930,35,4,2,80882
1930,35,5,1,109702
1930,35,5,2,224460
1930,35,6,1,644045
1930,35,6,2,497438
1930,40,1,1,3243023
1930,40,1,2,2930543
1930,40,2,1,148114
1930,40,2,2,122342
1930,40,4,1,60670
1930,40,4,2,58141
1930,40,5,1,126387
1930,40,5,2,306846
1930,40,6,1,496945
1930,40,6,2,336150
1930,45,1,1,2866278
1930,45,1,2,2540717
1930,45,2,1,146087
1930,45,2,2,98067
1930,45,4,1,59146
1930,45,4,2,65219
1930,45,5,1,159254
1930,45,5,2,391785
1930,45,6,1,402387
1930,45,6,2,300770
1930,50,1,1,2447194
1930,50,1,2,1957373
1930,50,2,1,101111
1930,50,2,2,106669
1930,50,4,1,53083
1930,50,4,2,42466
1930,50,5,1,188041
1930,50,5,2,461547
1930,50,6,1,338679
1930,50,6,2,241136
1930,55,1,1,1885100
1930,55,1,2,1461453
1930,55,2,1,89988
1930,55,2,2,76847
1930,55,4,1,38922
1930,55,4,2,28312
1930,55,5,1,186531
1930,55,5,2,544447
1930,55,6,1,233536
1930,55,6,2,187555
1930,60,1,1,1414447
1930,60,1,2,970628
1930,60,2,1,70273
1930,60,2,2,62683
1930,60,4,1,30335
1930,60,4,2,16684
1930,60,5,1,242162
1930,60,5,2,581363
1930,60,6,1,170347
1930,60,6,2,152157
1930,65,1,1,954439
1930,65,1,2,577818
1930,65,2,1,61686
1930,65,2,2,41461
1930,65,4,1,17694
1930,65,4,2,7584
1930,65,5,1,233039
1930,65,5,2,567715
1930,65,6,1,130417
1930,65,6,2,112734
1930,70,1,1,560621
1930,70,1,2,304319
1930,70,2,1,31847
1930,70,2,2,33358
1930,70,4,1,7079
1930,70,4,2,6067
1930,70,5,1,242658
1930,70,5,2,500974
1930,70,6,1,76840
1930,70,6,2,73791
1930,75,1,1,281575
1930,75,1,2,95044
1930,75,2,1,20727
1930,75,2,2,21737
1930,75,4,1,8091
1930,75,4,2,2525
1930,75,5,1,190088
1930,75,5,2,356393
1930,75,6,1,35894
1930,75,6,2,47017
1930,80,1,1,111226
1930,80,1,2,36399
1930,80,2,1,13147
1930,80,2,2,11117
1930,80,4,1,1011
1930,80,4,2,505
1930,80,5,1,102621
1930,80,5,2,215338
1930,80,6,1,18703
1930,80,6,2,20220
1930,85,1,1,32863
1930,85,1,2,10116
1930,85,2,1,5056
1930,85,2,2,6066
1930,85,4,1,1011
1930,85,4,2,505
1930,85,5,1,41958
1930,85,5,2,84433
1930,85,6,1,8090
1930,85,6,2,8090
1930,90,1,1,6573
1930,90,1,2,505
1930,90,2,1,1011
1930,90,2,2,2021
1930,90,5,1,18710
1930,90,5,2,38934
1930,90,6,1,4044
1930,90,6,2,2023
1940,0,6,1,5294628
1940,0,6,2,5124653
1940,5,6,1,5468378
1940,5,6,2,5359099
1940,10,1,1,997
1940,10,1,2,4716
1940,10,2,1,2313
1940,10,2,2,1777
1940,10,4,1,303
1940,10,4,2,303
1940,10,5,1,404
1940,10,5,2,707
1940,10,6,1,5956399
1940,10,6,2,5861029
1940,15,1,1,81996
1940,15,1,2,647208
1940,15,2,1,30981
1940,15,2,2,74576
1940,15,4,1,2709
1940,15,4,2,11296
1940,15,5,1,4432
1940,15,5,2,10037
1940,15,6,1,6044991
1940,15,6,2,5450584
1940,20,1,1,1445029
1940,20,1,2,2822376
1940,20,2,1,137453
1940,20,2,2,221279
1940,20,4,1,21948
1940,20,4,2,57936
1940,20,5,1,12415
1940,20,5,2,37052
1940,20,6,1,4065569
1940,20,6,2,2757359
1940,25,1,1,3202770
1940,25,1,2,3961990
1940,25,2,1,215048
1940,25,2,2,254159
1940,25,4,1,46222
1940,25,4,2,104139
1940,25,5,1,22766
1940,25,5,2,76650
1940,25,6,1,1951360
1940,25,6,2,1267306
1940,30,1,1,3676795
1940,30,1,2,3921685
1940,30,2,1,208159
1940,30,2,2,237705
1940,30,4,1,66557
1940,30,4,2,132844
1940,30,5,1,39604
1940,30,5,2,137439
1940,30,6,1,1048933
1940,30,6,2,741849
1940,35,1,1,3664650
1940,35,1,2,3678497
1940,35,2,1,218781
1940,35,2,2,234953
1940,35,4,1,72861
1940,35,4,2,128160
1940,35,5,1,63251
1940,35,5,2,219486
1940,35,6,1,705261
1940,35,6,2,530713
1940,40,1,1,3488598
1940,40,1,2,3357317
1940,40,2,1,219353
1940,40,2,2,201838
1940,40,4,1,89271
1940,40,4,2,110618
1940,40,5,1,97694
1940,40,5,2,314912
1940,40,6,1,542476
1940,40,6,2,409376
1940,45,1,1,3291142
1940,45,1,2,2997763
1940,45,2,1,211756
1940,45,2,2,189332
1940,45,4,1,79769
1940,45,4,2,92110
1940,45,5,1,136501
1940,45,5,2,424233
1940,45,6,1,471019
1940,45,6,2,346852
1940,50,1,1,2912817
1940,50,1,2,2432446
1940,50,2,1,191267
1940,50,2,2,155978
1940,50,4,1,74722
1940,50,4,2,69343
1940,50,5,1,193821
1940,50,5,2,539398
1940,50,6,1,413108
1940,50,6,2,291231
1940,55,1,1,2232604
1940,55,1,2,1775311
1940,55,2,1,150287
1940,55,2,2,115257
1940,55,4,1,55693
1940,55,4,2,50555
1940,55,5,1,220765
1940,55,5,2,627506
1940,55,6,1,312720
1940,55,6,2,241371
1940,60,1,1,1699728
1940,60,1,2,1273674
1940,60,2,1,108239
1940,60,2,2,85715
1940,60,4,1,38770
1940,60,4,2,31683
1940,60,5,1,275792
1940,60,5,2,707344
1940,60,6,1,247703
1940,60,6,2,219374
1940,65,1,1,1285825
1940,65,1,2,830540
1940,65,2,1,88693
1940,65,2,2,62875
1940,65,4,1,31005
1940,65,4,2,20438
1940,65,5,1,303145
1940,65,5,2,812726
1940,65,6,1,189010
1940,65,6,2,184538
1940,70,1,1,778233
1940,70,1,2,408277
1940,70,2,1,55269
1940,70,2,2,32712
1940,70,4,1,16450
1940,70,4,2,11072
1940,70,5,1,303522
1940,70,5,2,711987
1940,70,6,1,126549
1940,70,6,2,123663
1940,75,1,1,370945
1940,75,1,2,161517
1940,75,2,1,32065
1940,75,2,2,19491
1940,75,4,1,7472
1940,75,4,2,4321
1940,75,5,1,234860
1940,75,5,2,512908
1940,75,6,1,68533
1940,75,6,2,66678
1940,80,1,1,152792
1940,80,1,2,50974
1940,80,2,1,15370
1940,80,2,2,8367
1940,80,4,1,3072
1940,80,4,2,1590
1940,80,5,1,156014
1940,80,5,2,315880
1940,80,6,1,32170
1940,80,6,2,37950
1940,85,1,1,40816
1940,85,1,2,9203
1940,85,2,1,5988
1940,85,2,2,3232
1940,85,4,1,694
1940,85,4,2,505
1940,85,5,1,68087
1940,85,5,2,127335
1940,85,6,1,11718
1940,85,6,2,11856
1940,90,1,1,9818
1940,90,1,2,2061
1940,90,2,1,1277
1940,90,2,2,1566
1940,90,4,1,505
1940,90,4,2,202
1940,90,5,1,25429
1940,90,5,2,48024
1940,90,6,1,5234
1940,90,6,2,6266
1950,0,6,1,8211806
1950,0,6,2,7862267
1950,5,6,1,6706601
1950,5,6,2,6450863
1950,10,1,1,576
1950,10,1,2,3944
1950,10,2,1,6542
1950,10,2,2,6299
1950,10,3,1,929
1950,10,3,2,792
1950,10,4,1,707
1950,10,4,2,726
1950,10,5,1,1786
1950,10,5,2,2201
1950,10,6,1,5619204
1950,10,6,2,5416873
1950,15,1,1,123617
1950,15,1,2,814627
1950,15,2,1,47549
1950,15,2,2,84131
1950,15,3,1,11961
1950,15,3,2,45429
1950,15,4,1,9490
1950,15,4,2,20810
