"Country","Year","CO2 emissions (metric tons per capita)","Electric power consumption (kWh per capita)","Energy use (kg of oil equivalent per capita)","Fertility rate, total (births per woman)","GNI per capita, Atlas method (current US$)","Internet users (per 1,000 people)","Life expectancy at birth, total (years)","Military expenditure (% of GDP)","Population, total","Prevalence of HIV, total (% of population ages 15-49)"
"Djibouti",2000,0.54,0,0,5.3,"770",1.96,52.47,4.06,"714574",""
"Djibouti",2001,0.53,0,0,0,"780",4.5,0,3.98,"733118",""
"Djibouti",2002,0.48,0,0,5.09,"790",6,52.63,4.28,"749745",""
"Djibouti",2003,0.48,0,0,0,"880",8.5,0,0,"764838","3.12"
"Djibouti",2004,0,0,0,0,"970",11.55,0,0,"779102",""
"Djibouti",2005,0,0,0,4.74,"1010",12.61,53.39,0,"793078","3.11"
"Cayman Islands",2000,0,0,0,0,"",0,0,0,"",""
"Cayman Islands",2001,0,0,0,0,"",0,0,0,"",""
"Cayman Islands",2002,0,0,0,0,"",0,0,0,"",""
"Cayman Islands",2003,7.07,0,0,0,"",0,0,0,"43000",""
"Cayman Islands",2004,0,0,0,0,"",0,0,0,"44000",""
"Cayman Islands",2005,0,0,0,0,"",0,0,0,"45000",""
"Latvia",2000,2.52,2078.41,1638.7,1.24,"3220",63.24,70.37,0.89,"2372000",""
"Latvia",2001,2.79,2192.88,1799.92,1.21,"3550",72.06,70.21,1.05,"2359000",""
"Latvia",2002,2.75,2279.73,1797.26,1.24,"3840",132.59,70.26,1.58,"2338000",""
"Latvia",2003,2.89,2455.55,1892.62,1.29,"4450",0,70.68,1.69,"2325342","0.58"
"Latvia",2004,0,2548.87,1988.07,1.24,"5450",350.23,71.21,1.67,"2312791",""
"Latvia",2005,0,0,0,1.31,"6760",447.73,71.36,1.69,"2300500","0.79"
"Bangladesh",2000,0.22,103.59,145.13,3.22,"3.90E+02",0.78,61.53,1.41,"1.29E+08",""
"Bangladesh",2001,0.25,113.94,155.39,0,"3.80E+02",1.41,0,1.34,"1.31E+08",""
"Bangladesh",2002,0.25,121.56,156.63,3,"3.80E+02",1.52,62.58,1.25,"1.34E+08",""
"Bangladesh",2003,0.25,127.67,160.9,3,"4.00E+02",1.78,0,1.2,"1.37E+08","0.1"
"Bangladesh",2004,0,139.55,163.7,2.99,"4.40E+02",2.15,0,1.19,"1.39E+08",""
"Bangladesh",2005,0,0,0,2.98,"4.70E+02",2.61,63.9,1.14,"1.42E+08","0.1"
"Bosnia and Herzegovina",2000,5.05,1979.66,1044.42,1.28,"1420",10.4,73.61,0,"3847126",""
"Bosnia and Herzegovina",2001,5.06,1925.97,1118.87,0,"1480",11.54,0,0,"3900366",""
"Bosnia and Herzegovina",2002,4.82,2005.71,1063.81,1.32,"1580",25.5,73.93,3.92,"3920808",""
"Bosnia and Herzegovina",2003,4.88,2096.38,1134.97,0,"1840",38.28,0,2.62,"3918175",""
"Bosnia and Herzegovina",2004,0,2180.09,1203.23,1.22,"2280",57.55,0,2.16,"3909479",""
"Bosnia and Herzegovina",2005,0,0,0,1.19,"2680",206.4,74.41,1.76,"3907074","0.1"
"Panama",2000,1.95,1301.04,874.93,2.74,"3740",36.43,74.36,0,"2949948",""
"Panama",2001,2.33,1308.19,954.29,0,"3700",40.39,0,0,"3006435",""
"Panama",2002,1.9,1338.3,843.99,2.7,"3820",47.33,74.74,0,"3062835",""
"Panama",2003,1.93,1400.71,835.81,0,"3930",55.49,0,0,"3119132","0.86"
"Panama",2004,0,1466.29,801.17,0,"4310",61.9,0,0,"3175354",""
"Panama",2005,0,0,0,2.62,"4640",63.8,75.24,0,"3231502","0.89"
"Virgin Islands (U.S.)",2000,111.57,0,0,2.35,"",138.07,77.56,0,"108637",""
"Virgin Islands (U.S.)",2001,122.13,0,0,0,"",183.91,0,0,"108749",""
"Virgin Islands (U.S.)",2002,113.25,0,0,2.2,"",275.71,78.11,0,"108810",""
"Virgin Islands (U.S.)",2003,124.28,0,0,0,"",0,0,0,"108814",""
"Virgin Islands (U.S.)",2004,0,0,0,2.17,"",0,78.41,0,"108775",""
"Virgin Islands (U.S.)",2005,0,0,0,2.2,"",0,78.55,0,"108708",""
"Syrian Arab Republic",2000,2.87,1039.44,1044.74,3.66,"9.50E+02",1.78,72.5,5.37,"1.68E+07",""
"Syrian Arab Republic",2001,2.75,1112.46,984.48,0,"1.08E+03",3.48,0,6.05,"1.72E+07",""
"Syrian Arab Republic",2002,2.85,1191.81,1014.64,3.47,"1.15E+03",20.64,73.13,5.9,"1.77E+07",""
"Syrian Arab Republic",2003,2.7,1243.27,981.7,0,"1.21E+03",33.65,0,6.75,"1.81E+07","0.2"
"Syrian Arab Republic",2004,0,1317.45,992.51,0,"1.31E+03",43.05,0,6.26,"1.86E+07",""
"Syrian Arab Republic",2005,0,0,0,3.24,"1.42E+03",57.76,73.82,0,"1.90E+07","0.2"
"Uzbekistan",2000,4.81,1779.59,2034.52,2.6,"6.30E+02",4.87,67.85,0,"2.47E+07",""
"Uzbekistan",2001,4.8,1752.43,2025.75,0,"5.60E+02",6.01,0,0.83,"2.50E+07",""
"Uzbekistan",2002,4.83,1775.81,2046.04,2.35,"4.50E+02",10.88,66.97,0,"2.53E+07",""
"Uzbekistan",2003,4.83,1758.55,2064.05,2.31,"4.20E+02",19.24,0,0.54,"2.56E+07","0.08"
"Uzbekistan",2004,0,1795.67,2087.58,2.26,"4.60E+02",34.02,0,0,"2.59E+07",""
"Uzbekistan",2005,0,0,0,2.22,"5.30E+02",0,67.37,0,"2.62E+07","0.21"
"Burundi",2000,0.04,0,0,6.8,"120",0.77,42.83,5.97,"6486071",""
"Burundi",2001,0.04,0,0,0,"110",1.06,0,8.04,"6633320",""
"Burundi",2002,0.04,0,0,6.8,"100",1.17,43.39,7.56,"6818131",""
"Burundi",2003,0.03,0,0,0,"90",1.99,0,7.3,"7036675","3.26"
"Burundi",2004,0,0,0,0,"90",3.43,0,6.47,"7281837",""
"Burundi",2005,0,0,0,6.8,"100",5.3,44.65,0.01,"7547515","3.26"
"Guyana",2000,2.15,0,0,2.36,"880",67.23,61.78,0,"743683",""
"Guyana",2001,2.21,0,0,0,"870",134.1,0,0,"745714",""
"Guyana",2002,2.15,0,0,2.29,"880",167.23,62.76,0,"747487",""
"Guyana",2003,2.18,0,0,0,"910",186.92,0,0,"748989","2.44"
"Guyana",2004,0,0,0,0,"930",193.27,0,0,"750232",""
"Guyana",2005,0,0,0,2.18,"1030",212.99,64.26,0,"751218","2.45"
"Kiribati",2000,0.36,0,0,3.84,"1030",16.54,61.87,0,"90700",""
"Kiribati",2001,0.32,0,0,0,"1040",21.55,0,0,"92806.66",""
"Kiribati",2002,0.31,0,0,3.6,"1040",21.12,62.82,0,"94703.91",""
"Kiribati",2003,0.3,0,0,0,"980",20.75,0,0,"96377.02",""
"Kiribati",2004,0,0,0,0,"1070",20.45,0,0,"97812.85",""
"Kiribati",2005,0,0,0,0,"1170",20.2,0,0,"99000",""
"Mexico",2000,4.04,1794.61,1534.91,2.41,"5.11E+03",51.63,73.99,0.52,"9.80E+07",""
"Mexico",2001,4.12,1806.73,1537.34,2.34,"5.58E+03",74.85,74.29,0.54,"9.90E+07",""
"Mexico",2002,3.99,1834.94,1556.03,2.27,"6.00E+03",107.64,74.54,0.5,"1.00E+08",""
"Mexico",2003,4.12,1816.33,1583.49,2.21,"6.37E+03",120.95,74.84,0.46,"1.01E+08","0.27"
"Mexico",2004,0,1838.49,1621.51,2.16,"6.93E+03",137.55,75.09,0.41,"1.02E+08",""
"Mexico",2005,0,0,0,2.11,"7.30E+03",180.64,75.37,0.39,"1.03E+08","0.28"
"Canada",2000,16.11,16986.22,8129.98,1.49,"2.18E+04",421.55,79.19,1.16,"3.08E+07",""
"Canada",2001,15.89,16802.83,7914.57,0,"2.21E+04",450.42,79.44,1.19,"3.11E+07",""
"Canada",2002,17.09,16955.33,7972.51,1.52,"2.26E+04",484.66,79.64,1.17,"3.14E+07",""
"Canada",2003,17.88,17226.08,8302.25,1.53,"2.44E+04",556.43,79.79,1.17,"3.16E+07","0.3"
"Canada",2004,0,17155.71,8410.64,1.53,"2.81E+04",625.21,0,1.16,"3.20E+07",""
"Canada",2005,0,0,0,1.51,"3.26E+04",520.14,80.18,1.14,"3.23E+07","0.3"
"Channel Islands",2000,0,0,0,1.75,"",0,78.85,0,"146675",""
"Channel Islands",2001,0,0,0,0,"",0,0,0,"147237",""
"Channel Islands",2002,0,0,0,1.75,"",0,79.15,0,"147802",""
"Channel Islands",2003,0,0,0,1.75,"",0,0,0,"148366",""
"Channel Islands",2004,0,0,0,1.67,"",0,79.09,0,"148920",""
"Channel Islands",2005,0,0,0,0,"",0,0,0,"149463",""
"Marshall Islands",2000,0,0,0,0,"2540",15.15,65.24,0,"52821.52",""
"Marshall Islands",2001,0,0,0,0,"2550",16.42,0,0,"54805.98",""
"Marshall Islands",2002,0,0,0,0,"2720",21.98,0,0,"56864.99",""
"Marshall Islands",2003,0,0,0,0,"2880",23.73,0,0,"59001.37",""
"Marshall Islands",2004,0,0,0,0,"2810",32.67,0,0,"61218",""
"Marshall Islands",2005,0,0,0,0,"2930",34.77,0,0,"63266.1",""
"Iceland",2000,7.68,26220.64,11544.48,2.08,"30580",597.86,78.95,0,"281000",""
"Iceland",2001,7.36,26947.37,11800,1.95,"29380",603.51,79.41,0,"285000",""
"Iceland",2002,7.62,27850.7,11788.19,1.93,"28860",647.92,79.45,0,"288000",""
"Iceland",2003,7.55,27663.8,11694.08,1.99,"31570",673.46,79.65,0,"289548.1","0.2"
"Iceland",2004,0,28213.31,11975.51,2.03,"39800",772.38,80.91,0,"292096.2",""
"Iceland",2005,0,0,0,2.05,"48570",869.42,81.1,0,"296750","0.2"
"Barbados",2000,4.45,0,0,1.75,"",37.58,75.42,0.85,"266089",""
"Barbados",2001,4.54,0,0,0,"",56.22,0,0.92,"266815",""
"Barbados",2002,4.57,0,0,1.75,"",112.14,74.94,0.95,"267518",""
"Barbados",2003,4.44,0,0,1.75,"",372.85,0,0.87,"268204","1.57"
"Barbados",2004,0,0,0,1.69,"",557.87,75.4,0,"268881",""
"Barbados",2005,0,0,0,0,"",593.57,0,0,"269556","1.55"
"Lebanon",2000,4.07,2081.23,1340.83,2.47,"4590",79.53,71.3,5.23,"3772283",""
"Lebanon",2001,4.32,2093.85,1422.25,0,"4570",68.05,0,5.33,"3820719",""
"Lebanon",2002,4.23,2238.95,1388.14,2.32,"4510",103.38,71.83,4.33,"3869218",""
"Lebanon",2003,4.84,2288.43,1520.6,0,"4830",127.63,0,3.94,"3917538","0.08"
"Lebanon",2004,0,2231.33,1361.2,0,"5550",151.33,0,3.81,"3964891",""
"Lebanon",2005,0,0,0,2.25,"5510",174.53,72.54,0,"4010740","0.14"
"Europe & Central Asia",2000,6.52,3287.62,2631.46,1.62,"1.96E+03",27.79,68.47,3.2,"4.60E+08",""
"Europe & Central Asia",2001,6.51,3316.64,2662.04,0,"1.92E+03",40.71,0,3.16,"4.60E+08",""
"Europe & Central Asia",2002,6.57,3342.29,2676.52,1.6,"2.10E+03",65.95,68.57,3.18,"4.60E+08",""
"Europe & Central Asia",2003,6.82,3462.81,2783.5,0,"2.49E+03",97.1,0,3.07,"4.60E+08","0.56"
"Europe & Central Asia",2004,0,3568.43,2808.98,0,"3.18E+03",136.02,0,2.8,"4.60E+08",""
"Europe & Central Asia",2005,0,0,0,1.58,"3.97E+03",186.42,68.95,2.78,"4.60E+08","0.61"
"Lesotho",2000,0,0,0,0,"630",2.24,41.16,3.58,"1787504",""
"Lesotho",2001,0,0,0,0,"580",2.78,0,3.11,"1795843",""
"Lesotho",2002,0,0,0,3.65,"530",11.67,36.47,2.85,"1799710",""
"Lesotho",2003,0,0,0,3.5,"580",16.67,0,2.81,"1799971","23.68"
"Lesotho",2004,0,0,0,0,"720",23.92,0,2.56,"1797972",""
"Lesotho",2005,0,0,0,3.4,"930",0,35.16,2.35,"1794769","23.24"
"El Salvador",2000,0.91,643.9,648.99,3,"2000",11.15,70.15,0.85,"6280482",""
"El Salvador",2001,0.93,579.15,666.78,0,"2040",23.43,0,0.79,"6402452",""
"El Salvador",2002,0.92,605.67,659.01,2.88,"2080",45.99,70.63,0.76,"6523374",""
"El Salvador",2003,0.98,621.53,683.25,0,"2190",82.79,0,0.7,"6643296","0.91"
"El Salvador",2004,0,629.21,663.52,0,"2330",86.87,0,0.67,"6762439",""
"El Salvador",2005,0,0,0,2.76,"2450",92.58,71.31,0.62,"6880951","0.92"
"Liechtenstein",2000,0,0,0,0,"",0,0,0,"",""
"Liechtenstein",2001,0,0,0,0,"",0,0,0,"",""
"Liechtenstein",2002,0,0,0,0,"",0,0,0,"",""
"Liechtenstein",2003,0,0,0,0,"",586.51,0,0,"34100",""
"Liechtenstein",2004,0,0,0,0,"",638.61,0,0,"34450",""
"Liechtenstein",2005,0,0,0,0,"",633.09,0,0,"34750",""
"World",2000,3.81,2395.84,1686.82,2.7,"5.25E+03",65.07,66.71,2.27,"6.07E+09",""
"World",2001,3.83,2389.59,1677.28,0,"5.22E+03",80.29,0,2.32,"6.14E+09",""
"World",2002,3.92,2441.18,1693.42,2.64,"5.17E+03",99.91,66.99,2.42,"6.22E+09",""
"World",2003,4.04,2516.62,1730.77,0,"5.56E+03",115.02,0,2.49,"6.29E+09","0.92"
"World",2004,0,2601.03,1790.49,0,"6.34E+03",134.62,0,2.5,"6.37E+09",""
"World",2005,0,0,0,2.58,"7.02E+03",136.5,67.6,2.49,"6.45E+09","0.94"
"Central African Republic",2000,0.07,0,0,5.09,"270",0.53,40.59,0,"3777405",""
"Central African Republic",2001,0.07,0,0,0,"260",0.78,0,0,"3835064",""
"Central African Republic",2002,0.07,0,0,4.96,"250",1.29,39.37,1.02,"3887379",""
"Central African Republic",2003,0.06,0,0,0,"260",1.52,0,1.26,"3936626","10.82"
"Central African Republic",2004,0,0,0,0,"310",2.26,0,1.16,"3985971",""
"Central African Republic",2005,0,0,0,4.73,"350",2.72,39.43,1.12,"4037747","10.73"
"Slovenia",2000,7.25,5777.78,3262.44,1.26,"10780",150.83,75.91,1.15,"1989000",""
"Slovenia",2001,7.58,6006.53,3415.16,1.21,"10400",301.2,76.2,1.37,"1992000",""
"Slovenia",2002,7.66,6383.15,3481.44,1.21,"10360",376.13,76.45,1.47,"1994000",""
"Slovenia",2003,7.72,6582.15,3510.55,1.2,"11990",400.86,76.4,1.49,"1995700","0.1"
"Slovenia",2004,0,6834.75,3590.89,1.25,"14880",475.71,77.61,1.59,"1997000",""
"Slovenia",2005,0,0,0,1.23,"17430",544.86,77.61,1.67,"2000500","0.1"
"Burkina Faso",2000,0.09,0,0,0,"2.50E+02",0.8,46.79,1.41,"1.13E+07",""
"Burkina Faso",2001,0.09,0,0,0,"2.40E+02",1.63,0,1.31,"1.16E+07",""
"Burkina Faso",2002,0.09,0,0,6.2,"2.50E+02",2.08,47.35,1.5,"1.20E+07",""
"Burkina Faso",2003,0.08,0,0,0,"2.90E+02",3.87,0,1.31,"1.24E+07","1.8"
"Burkina Faso",2004,0,0,0,5.9,"3.50E+02",4.15,0,1.28,"1.28E+07",""
"Burkina Faso",2005,0,0,0,5.9,"4.30E+02",4.88,48.48,1.34,"1.32E+07","2.01"
"Mongolia",2000,3.13,0,0,2.62,"390",12.51,65.1,2.58,"2398000",""
"Mongolia",2001,3.25,0,0,0,"390",16.52,0,2.28,"2421360",""
"Mongolia",2002,3.38,0,0,2.43,"420",20.42,65.46,2.27,"2448509",""
"Mongolia",2003,3.21,0,0,0,"490",57.59,0,1.89,"2479568","0.1"
"Mongolia",2004,0,0,0,0,"610",79.53,0,1.71,"2514678",""
"Mongolia",2005,0,0,0,2.33,"720",105.05,66.84,0,"2554000","0.1"
"Guatemala",2000,0.91,344.79,639.96,4.76,"1.74E+03",7.16,66.25,0.82,"1.12E+07",""
"Guatemala",2001,0.92,373.29,639.52,0,"1.73E+03",17.49,0,0.94,"1.14E+07",""
"Guatemala",2002,0.94,378.45,630.52,4.6,"1.79E+03",34.16,67.04,0.68,"1.17E+07",""
"Guatemala",2003,0.89,492.31,607.83,0,"1.96E+03",45.84,0,0.72,"1.20E+07","0.86"
"Guatemala",2004,0,514.2,615.63,0,"2.19E+03",61.81,0,0.42,"1.23E+07",""
"Guatemala",2005,0,0,0,4.33,"2.40E+03",79.37,67.85,0.41,"1.26E+07","0.9"
"Timor-Leste",2000,0,0,0,6.64,"",0,54.14,0,"783635.7",""
"Timor-Leste",2001,0,0,0,0,"",0,0,0,"787338",""
"Timor-Leste",2002,0.19,0,0,7.79,"420",0,55.17,0,"830676.7",""
"Timor-Leste",2003,0.18,0,0,7.77,"390",0,0,0,"876400.9","0.2"
"Timor-Leste",2004,0,0,0,0,"580",0,0,0,"924642",""
"Timor-Leste",2005,0,0,0,7.47,"750",0,56.72,0,"975538.5","0.2"
"New Zealand",2000,8.59,8911.82,4495.83,2.02,"13760",392.71,78.64,1.23,"3857800",""
"New Zealand",2001,9.02,8723.36,4492.2,1.97,"13560",454.07,78.69,1.14,"3880500",""
"New Zealand",2002,8.78,8872.08,4502.3,1.9,"13650",484.37,78.85,1.08,"3939100",""
"New Zealand",2003,8.67,9011.77,4309.59,1.94,"15740",526.29,79.15,1.05,"4009200","0.1"
"New Zealand",2004,0,8936.57,4344.31,2.01,"19610",578.62,79.55,1.03,"4061400",""
"New Zealand",2005,0,0,0,2,"25920",671.89,79.62,1.01,"4098900","0.1"
"Angola",2000,0.48,89.16,572.3,6.81,"4.30E+02",1.08,40.44,2.21,"1.38E+07",""
"Angola",2001,0.5,98.49,585.02,0,"4.70E+02",1.41,0,1.43,"1.42E+07",""
"Angola",2002,0.52,103.09,589.93,6.75,"6.20E+02",2.8,40.7,1.5,"1.46E+07",""
"Angola",2003,0.57,113.45,606.1,0,"7.10E+02",5.58,0,2.13,"1.50E+07","3.7"
"Angola",2004,0,123.82,612.52,0,"9.40E+02",11.1,0,4.14,"1.55E+07",""
"Angola",2005,0,0,0,6.56,"1.41E+03",11.04,41.42,5.04,"1.59E+07","3.68"
"High income: OECD",2000,12.71,9443.35,5461.17,1.66,"2.74E+04",328.4,78.23,2.18,"9.09E+08",""
"High income: OECD",2001,12.68,9317.71,5407.69,1.64,"2.72E+04",390.38,78.45,2.22,"9.15E+08",""
"High income: OECD",2002,12.73,9448.38,5414.13,1.62,"2.70E+04",443.3,78.56,2.36,"9.20E+08",""
"High income: OECD",2003,12.76,9546.92,5423.13,1.46,"2.91E+04",471.94,78.7,2.48,"9.26E+08","0.36"
"High income: OECD",2004,0,9693.51,5495.31,1.66,"3.32E+04",524.85,78.84,2.51,"9.32E+08",""
"High income: OECD",2005,0,0,0,1.66,"3.65E+04",525.36,79.24,2.54,"9.38E+08","0.36"
"Greece",2000,8.27,4539.41,2548.29,1.29,"1.15E+04",91.6,77.99,4.76,"1.09E+07",""
"Greece",2001,8.48,4680.66,2621.38,1.25,"1.12E+04",83.59,77.99,4.5,"1.09E+07",""
"Greece",2002,8.53,4868.24,2642.35,1.27,"1.14E+04",135.18,78.69,4.24,"1.10E+07",""
